1000
393;13
873;630
279;331
195;22
426;1
824;668
921;291
316;381
709;207
646;993
926;365
699;991
976;878
116;148
255;372
485;648
385;358
631;17
689;826
39;116
180;215
784;101
507;452
834;568
11;480
913;289
198;613
281;174
843;397
674;451
769;159
99;507
869;82
524;559
909;563
27;441
779;163
542;638
615;728
558;626
560;471
916;758
84;549
284;280
946;958
731;68
469;182
575;339
265;99
898;174
14;925
967;145
88;509
135;55
589;693
33;149
165;949
908;601
850;192
881;797
503;612
865;972
147;792
311;412
891;561
938;257
838;905
403;278
766;538
333;355
584;367
504;101
668;764
702;519
309;936
668;812
900;885
136;47
677;800
459;568
361;397
177;552
654;580
830;420
471;516
775;55
235;632
156;903
396;210
774;57
498;794
221;399
679;358
798;356
510;610
276;871
359;454
775;14
386;606
434;209
474;562
264;709
194;772
964;942
335;739
0;833
885;573
584;565
931;383
273;441
993;550
665;704
356;792
718;94
398;153
304;872
67;568
933;261
693;898
203;28
989;555
861;874
129;798
439;412
181;65
206;526
615;223
582;323
15;301
417;766
806;721
990;873
642;924
134;335
822;689
715;163
597;928
37;726
726;829
490;259
894;696
137;861
271;720
184;287
21;953
53;827
675;43
52;669
319;538
356;493
227;71
656;176
999;694
902;78
875;745
337;769
793;827
982;65
547;166
352;920
471;757
99;498
152;151
167;472
689;523
965;268
946;974
445;298
20;699
376;895
444;65
16;238
892;998
655;791
516;359
711;987
116;810
486;620
961;5
92;2
529;410
271;827
384;716
477;404
767;853
651;212
271;667
802;515
665;809
307;533
168;18
520;636
829;358
256;142
364;701
145;245
111;416
72;847
484;550
603;251
755;606
815;378
273;969
894;290
778;201
823;946
571;695
582;752
54;191
895;418
892;392
663;355
808;87
554;644
637;157
247;745
115;63
123;388
32;17
30;163
570;205
461;494
900;396
246;954
587;493
724;479
885;387
186;45
475;740
41;464
249;289
209;364
704;685
104;88
54;134
251;977
691;713
471;591
109;69
898;696
915;622
527;152
362;65
550;189
805;591
653;406
232;215
770;936
900;226
25;954
712;628
283;403
341;754
346;450
176;244
498;91
219;377
595;581
442;145
770;599
89;775
5;321
990;127
610;242
353;635
549;65
263;832
468;957
939;815
759;115
411;610
558;630
987;153
563;782
651;685
381;740
461;739
413;803
866;23
398;572
10;947
637;626
131;458
583;70
625;342
537;36
304;95
19;292
601;934
426;252
620;159
344;433
898;757
236;765
781;634
689;143
933;326
769;65
136;352
487;761
47;25
150;351
472;521
995;425
455;421
677;427
581;373
860;831
131;449
948;264
435;637
407;721
964;529
786;100
233;273
214;280
650;364
984;123
885;331
548;692
753;578
120;686
303;332
517;434
781;466
50;569
103;810
290;419
339;428
872;572
53;86
205;704
802;189
179;687
520;79
731;625
9;851
663;313
184;533
99;317
351;150
886;454
960;528
226;651
956;98
223;10
536;780
66;338
969;245
377;842
324;108
819;686
312;835
999;496
368;98
165;719
600;404
525;912
932;751
563;889
201;139
251;89
919;317
779;241
562;156
83;238
617;254
924;929
89;275
777;809
374;942
528;974
698;54
239;631
157;802
520;711
293;771
152;213
88;932
454;2
88;889
592;57
495;869
986;937
144;115
746;518
410;627
845;108
33;84
739;190
238;611
253;532
734;406
97;174
338;551
176;778
792;121
836;287
990;174
224;134
642;323
5;52
950;202
512;983
638;604
525;876
215;131
760;302
537;857
476;227
760;5
357;904
126;545
544;468
72;120
602;714
443;607
118;393
161;630
728;799
234;254
28;802
385;788
456;274
998;284
853;110
289;210
15;767
756;559
235;828
679;190
894;475
149;12
220;311
994;949
110;581
555;138
735;292
279;191
918;629
475;771
91;117
333;106
236;89
17;824
269;49
14;163
876;515
527;96
826;522
45;289
103;952
779;838
596;58
381;514
39;856
637;131
325;971
589;562
60;959
386;682
8;752
197;884
267;725
332;446
599;730
735;702
682;514
892;279
925;273
145;316
481;783
447;807
754;37
721;166
348;107
848;356
211;398
592;478
123;924
924;74
654;11
776;689
878;20
320;803
645;465
119;126
248;919
285;2
308;6
521;656
465;369
364;28
119;956
859;594
232;135
668;239
147;796
280;25
816;600
180;813
65;299
940;666
218;577
668;878
936;189
534;753
911;898
782;30
206;641
977;791
776;645
382;275
442;662
300;610
262;832
424;679
132;716
345;702
293;366
581;581
555;467
335;818
718;469
201;924
462;178
67;238
823;449
866;617
111;518
228;725
351;4
405;835
720;750
537;365
116;470
947;24
290;634
194;8
103;395
284;565
925;352
155;101
153;21
